GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
31450	Franklin--Highland Lake, NJ Urban Cluster	C	84336261	3305453	32.562	1.276	41.16921	-74.546082                                                                                                     
31465	Franklinton, LA Urban Cluster	C	7414890	7995	2.863	0.003	30.846598	-90.148295                                                                                                                     
31478	Fraser, CO Urban Cluster	C	5790231	0	2.236	0.	39.935988	-105.798883                                                                                                                               
31492	Frazier Park, CA Urban Cluster	C	6539298	5006	2.525	0.002	34.818946	-118.945784                                                                                                                   
31519	Frederick, MD Urbanized Area	U	190183424	1223042	73.43	0.472	39.415817	-77.408163                                                                                                                 
31546	Frederick, OK Urban Cluster	C	5771782	0	2.228	0.	34.391193	-99.014399                                                                                                                             
31573	Fredericksburg, TX Urban Cluster	C	19647084	16099	7.586	0.006	30.273813	-98.869231                                                                                                                
31600	Fredericksburg, VA Urbanized Area	U	201972226	1619252	77.982	0.625	38.282028	-77.502692                                                                                                           
31627	Fredericktown, MO Urban Cluster	C	6048892	8668	2.335	0.003	37.561065	-90.289915                                                                                                                   
31681	Freeport, IL Urban Cluster	C	35958131	178583	13.884	0.069	42.293495	-89.63027                                                                                                                     
31735	Fremont, MI Urban Cluster	C	8160104	56396	3.151	0.022	43.465758	-85.951597                                                                                                                        
31762	Fremont, NE Urban Cluster	C	28205719	1080046	10.89	0.417	41.440935	-96.494819                                                                                                                     
31789	Fremont, OH Urban Cluster	C	31869461	761346	12.305	0.294	41.349654	-83.118293                                                                                                                     
31843	Fresno, CA Urbanized Area	U	441049776	3224371	170.29	1.245	36.787755	-119.761114                                                                                                                  
31870	Friona, TX Urban Cluster	C	3512243	0	1.356	0.	34.639737	-102.72174                                                                                                                                
31897	Fritch, TX Urban Cluster	C	8750286	0	3.379	0.	35.638345	-101.591624                                                                                                                               
31924	Front Royal, VA Urban Cluster	C	44528150	570810	17.192	0.22	38.93311	-78.165713                                                                                                                   
31978	Frostproof, FL Urban Cluster	C	19868793	4989284	7.671	1.926	27.733078	-81.559135                                                                                                                  
32032	Fulton, KY--TN Urban Cluster	C	7335694	45760	2.832	0.018	36.504438	-88.879996                                                                                                                     
32059	Fulton, MS Urban Cluster	C	8745369	0	3.377	0.	34.272094	-88.404964                                                                                                                                
32086	Fulton, MO Urban Cluster	C	17025785	142801	6.574	0.055	38.852856	-91.949109                                                                                                                       
32113	Gadsden, AL Urbanized Area	U	186453391	7387226	71.99	2.852	33.982171	-86.013753                                                                                                                   
32140	Gaffney, SC Urban Cluster	C	48025862	144009	18.543	0.056	35.085468	-81.656738                                                                                                                     
32167	Gainesville, FL Urbanized Area	U	225553278	3800127	87.087	1.467	29.656824	-82.371036                                                                                                              
32194	Gainesville, GA Urbanized Area	U	327017903	7842567	126.262	3.028	34.262481	-83.855497                                                                                                             
32221	Gainesville, TX Urban Cluster	C	21329732	12431	8.235	0.005	33.629767	-97.13669                                                                                                                    
32248	Galax, VA Urban Cluster	C	15380699	40227	5.939	0.016	36.66996	-80.910802                                                                                                                          
32275	Galena, IL Urban Cluster	C	4773207	0	1.843	0.	42.419095	-90.431199                                                                                                                                
32302	Galena, KS--MO Urban Cluster	C	4074467	12078	1.573	0.005	37.069889	-94.635287                                                                                                                     
32329	Galesburg, IL Urban Cluster	C	55962512	174726	21.607	0.067	40.941849	-90.355829                                                                                                                   
32356	Galion, OH Urban Cluster	C	23476336	79699	9.064	0.031	40.731873	-82.806993                                                                                                                        
32383	Galliano--Larose--Cut Off, LA Urban Cluster	C	41851640	713518	16.159	0.275	29.492773	-90.321378                                                                                                   
32437	Gallup, NM Urban Cluster	C	31419076	0	12.131	0.	35.521098	-108.741039                                                                                                                             
32451	Galt, CA Urban Cluster	C	20505283	0	7.917	0.	38.269332	-121.300265                                                                                                                                
32491	Galveston, TX Urban Cluster	C	30384297	2933753	11.731	1.133	29.287801	-94.822135                                                                                                                  
