CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
206	14300	Bonham, TX Micro Area	2	2307250914	20847064	890.835	8.049	33.591161	-96.104988                                                                                                                
218	14340	Boone, IA Micro Area	2	1480329003	5358730	571.558	2.069	42.038642	-93.938358                                                                                                                  
108	14420	Borger, TX Micro Area	2	2298408152	19507502	887.42	7.532	35.837047	-101.362746                                                                                                                
148	14460	Boston-Cambridge-Newton, MA-NH Metro Area	1	9030090298	2653692919	3486.538	1024.597	42.517606	-71.021993                                                                                      
216	14500	Boulder, CO Metro Area	1	1881290197	36512644	726.37	14.098	40.09497	-105.397691                                                                                                               
150	14540	Bowling Green, KY Metro Area	1	4182936202	61811238	1615.041	23.865	37.046821	-86.397068                                                                                                       
520	14700	Branson, MO Micro Area	2	2839620054	171000564	1096.383	66.024	36.695008	-93.223561                                                                                                            
500	14740	Bremerton-Silverdale, WA Metro Area	1	1023381117	442114809	395.13	170.701	47.639687	-122.649636                                                                                               
288	14780	Brenham, TX Micro Area	2	1564829004	45497797	604.184	17.567	30.215075	-96.410272                                                                                                              
120	14820	Brevard, NC Micro Area	2	980141494	5110139	378.435	1.973	35.210079	-82.816653                                                                                                                 
408	14860	Bridgeport-Stamford-Norwalk, CT Metro Area	1	1618651428	549293518	624.965	212.083	41.227413	-73.367061                                                                                        
298	15020	Brookhaven, MS Micro Area	2	1518074192	5291052	586.132	2.043	31.535216	-90.453566                                                                                                             
297	15140	Brownsville, TN Micro Area	2	1380741546	2472509	533.107	0.955	35.586678	-89.282691                                                                                                            
154	15180	Brownsville-Harlingen, TX Metro Area	1	2307806796	998119379	891.049	385.376	26.102923	-97.478958                                                                                              
360	15340	Bucyrus, OH Micro Area	2	1040619651	2359514	401.786	0.911	40.848524	-82.924783                                                                                                                
160	15380	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	1	4053530303	2075739228	1565.077	801.447	43.044371	-78.777335                                                                                
268	15500	Burlington, NC Metro Area	1	1096684439	27992169	423.432	10.808	36.043954	-79.400573                                                                                                           
122	15660	Calhoun, GA Micro Area	2	921598697	5729802	355.831	2.212	34.509667	-84.873862                                                                                                                 
548	15680	California-Lexington Park, MD Metro Area	1	928997941	1050393887	358.688	405.559	38.220289	-76.530384                                                                                          
548	15700	Cambridge, MD Micro Area	2	1400550674	1145376112	540.756	442.232	38.429196	-76.047433                                                                                                         
198	15740	Cambridge, OH Micro Area	2	1352631199	15666074	522.254	6.049	40.056665	-81.497875                                                                                                             
444	15860	Cañon City, CO Micro Area	2	3970664370	2235543	1533.082	0.863	38.45517	-105.424958                                                                                                            
427	15900	Canton, IL Micro Area	2	2242157116	43975590	865.702	16.979	40.46524	-90.202269                                                                                                                
184	15940	Canton-Massillon, OH Metro Area	1	2512095375	24828753	969.925	9.586	40.711072	-81.261474                                                                                                      
162	15980	Cape Coral-Fort Myers, FL Metro Area	1	2025413418	1114617195	782.017	430.356	26.559035	-81.891994                                                                                             
164	16020	Cape Girardeau, MO-IL Metro Area	1	3708758620	72943338	1431.96	28.164	37.325936	-89.762639                                                                                                    
456	16180	Carson City, NV Metro Area	1	374672862	32584237	144.662	12.581	39.15306	-119.747379                                                                                                           
168	16300	Cedar Rapids, IA Metro Area	1	5202806569	29258396	2008.815	11.297	42.086329	-91.631144                                                                                                        
122	16340	Cedartown, GA Micro Area	2	803751986	4688356	310.33	1.81	33.996015	-85.188338                                                                                                                 
338	16380	Celina, OH Micro Area	2	1197723416	28440771	462.444	10.981	40.535333	-84.632059                                                                                                               
476	16460	Centralia, IL Micro Area	2	1482641176	9301714	572.451	3.591	38.648106	-88.920488                                                                                                              
500	16500	Centralia, WA Micro Area	2	6223151022	86954132	2402.772	33.573	46.580071	-122.377444                                                                                                          
548	16540	Chambersburg-Waynesboro, PA Metro Area	1	2000048804	1547614	772.223	0.598	39.926772	-77.724521                                                                                                
170	16620	Charleston, WV Metro Area	1	4519800295	33224904	1745.105	12.828	38.283213	-81.492557                                                                                                          
172	16740	Charlotte-Concord-Gastonia, NC-SC Metro Area	1	13118620932	288777789	5065.128	111.498	35.187295	-80.867491                                                                                    
174	16860	Chattanooga, TN-GA Metro Area	1	5410422963	126540530	2088.976	48.858	35.049361	-85.361158                                                                                                     
176	16980	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	1	18635154620	6173076683	7195.074	2383.438	41.823521	-87.828297                                                                                 
198	17060	Chillicothe, OH Micro Area	2	1784986619	9938847	689.187	3.837	39.323897	-83.059536                                                                                                            
178	17140	Cincinnati, OH-KY-IN Metro Area	1	10780717867	200307490	4162.459	77.339	39.069458	-84.427153                                                                                                  
185	17380	Cleveland, MS Micro Area	2	2270541560	75515374	876.661	29.157	33.799139	-90.88412                                                                                                             
174	17420	Cleveland, TN Metro Area	1	1977106116	26871792	763.365	10.375	35.138117	-84.655079                                                                                                            
184	17460	Cleveland-Elyria, OH Metro Area	1	5178331971	5128451903	1999.365	1980.106	41.760392	-81.724217                                                                                                
209	17540	Clinton, IA Micro Area	2	1799818638	39526958	694.914	15.261	41.898073	-90.534243                                                                                                              
188	17580	Clovis, NM Micro Area	2	3640098081	8190595	1405.45	3.162	34.572984	-103.346055                                                                                                                
434	17620	Coamo, PR Micro Area	2	202052322	38061	78.013	0.015	18.1038	-66.357586                                                                                                                        
490	17640	Coco, PR Micro Area	2	179731084	115840728	69.395	44.726	17.971485	-66.262252                                                                                                                  
518	17660	Coeur d'Alene, ID Metro Area	1	3205833878	184447536	1237.779	71.216	47.675966	-116.695922                                                                                                     
190	17860	Columbia, MO Metro Area	1	1775561240	14241353	685.548	5.499	38.989861	-92.310202                                                                                                              
192	17900	Columbia, SC Metro Area	1	9591002754	339370306	3703.107	131.032	34.077585	-81.037845                                                                                                          
194	17980	Columbus, GA-AL Metro Area	1	5014712510	61146547	1936.191	23.609	32.436836	-84.900879                                                                                                         
294	18020	Columbus, IN Metro Area	1	1053901037	6782908	406.913	2.619	39.205843	-85.897999                                                                                                               
200	18060	Columbus, MS Micro Area	2	1309092512	28545194	505.443	11.021	33.471424	-88.439723                                                                                                             
198	18140	Columbus, OH Metro Area	1	12423222575	138911610	4796.633	53.634	39.968562	-82.835911                                                                                                          
148	18180	Concord, NH Micro Area	2	2416139337	57236576	932.877	22.099	43.299579	-71.680041                                                                                                              
458	18220	Connersville, IN Micro Area	2	556901555	366408	215.021	0.141	39.639655	-85.185031                                                                                                             
236	18500	Corning, NY Micro Area	2	3601504766	35055664	1390.549	13.535	42.266725	-77.385525                                                                                                             
204	18580	Corpus Christi, TX Metro Area	1	4620023464	1599426731	1783.801	617.542	27.898931	-97.401236                                                                                                   
206	18620	Corsicana, TX Micro Area	2	2614935410	197626092	1009.632	76.304	32.048448	-96.476909                                                                                                          
296	18660	Cortland, NY Micro Area	2	1291815778	7112822	498.773	2.746	42.594039	-76.07624                                                                                                                
440	18700	Corvallis, OR Metro Area	1	1748712549	7740248	675.182	2.989	44.493882	-123.424664                                                                                                             
525	18780	Craig, CO Micro Area	2	12284943825	19803411	4743.244	7.646	40.610864	-108.217154                                                                                                              
294	18820	Crawfordsville, IN Micro Area	2	1307030239	2067987	504.647	0.798	40.040296	-86.892715                                                                                                         
142	18980	Cullman, AL Micro Area	2	1903073019	52422496	734.781	20.24	34.131923	-86.869267                                                                                                               
206	19100	Dallas-Fort Worth-Arlington, TX Metro Area	1	24033036246	924101888	9279.208	356.798	32.822558	-97.025131                                                                                      
174	19140	Dalton, GA Metro Area	1	1644464812	7317664	634.931	2.825	34.796956	-84.856279                                                                                                                 
380	19300	Daphne-Fairhope-Foley, AL Metro Area	1	4117546676	1133055836	1589.794	437.475	30.659218	-87.746067                                                                                            
209	19340	Davenport-Moline-Rock Island, IA-IL Metro Area	1	5878454318	114358168	2269.684	44.154	41.39168	-90.460076                                                                                     
212	19380	Dayton, OH Metro Area	1	3319393377	22350189	1281.625	8.629	39.828854	-84.141813                                                                                                               
174	19420	Dayton, TN Micro Area	2	816838007	54448370	315.383	21.023	35.60059	-84.949548                                                                                                                 
290	19460	Decatur, AL Metro Area	1	3289477155	119603581	1270.074	46.179	34.489361	-87.097147                                                                                                            
258	19540	Decatur, IN Micro Area	2	878079470	2429954	339.028	0.938	40.745733	-84.93613                                                                                                                  
422	19660	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	1	4108726253	1079708499	1586.388	416.878	29.1789	-81.189023                                                                                 
216	19740	Denver-Aurora-Lakewood, CO Metro Area	1	21613083991	149906867	8344.859	57.879	39.434749	-104.901209                                                                                           
217	19760	DeRidder, LA Micro Area	2	2997555226	21945878	1157.363	8.473	30.645018	-93.340253                                                                                                             
218	19780	Des Moines-West Des Moines, IA Metro Area	1	7464337953	76990000	2881.997	29.726	41.54486	-93.943487                                                                                           
220	19820	Detroit-Warren-Dearborn, MI Metro Area	1	10074522792	895785418	3889.795	345.865	42.721848	-83.200846                                                                                          
221	19940	Dixon, IL Micro Area	2	1877336056	10634483	724.844	4.106	41.747442	-89.299351                                                                                                                 
222	20020	Dothan, AL Metro Area	1	4444678880	33248036	1716.1	12.837	31.245528	-85.46919                                                                                                                 
428	20100	Dover, DE Metro Area	1	1517232133	550433497	585.807	212.524	39.097088	-75.502982                                                                                                              
524	20180	DuBois, PA Micro Area	2	2964714515	23932643	1144.683	9.24	41.000249	-78.473749                                                                                                                
450	20380	Dunn, NC Micro Area	2	1541110995	16367252	595.026	6.319	35.368635	-78.87161                                                                                                                   
206	20460	Durant, OK Micro Area	2	2342666324	102129113	904.509	39.432	33.964004	-96.264137                                                                                                              
450	20500	Durham-Chapel Hill, NC Metro Area	1	4553294600	140282172	1758.037	54.163	35.995536	-79.09699                                                                                                  
548	20660	Easton, MD Micro Area	2	695563206	539361871	268.558	208.249	38.748349	-76.178476                                                                                                              
408	20700	East Stroudsburg, PA Metro Area	1	1575378412	22873938	608.257	8.832	41.05624	-75.329065                                                                                                       
232	20740	Eau Claire, WI Metro Area	1	4263839755	104081840	1646.278	40.186	44.938672	-91.284322                                                                                                         
233	20780	Edwards, CO Micro Area	2	4362761542	18963358	1684.472	7.322	39.626992	-106.695169                                                                                                             
288	20900	El Campo, TX Micro Area	2	2813117310	21287759	1086.151	8.219	29.27848	-96.229674                                                                                                              
545	21020	Elizabeth City, NC Micro Area	2	1850164808	554687568	714.353	214.166	36.265199	-76.260691                                                                                                     
350	21060	Elizabethtown-Fort Knox, KY Metro Area	1	3083034259	72269349	1190.366	27.903	37.73298	-85.972171                                                                                              
515	21140	Elkhart-Goshen, IN Metro Area	1	1199603932	12434164	463.17	4.801	41.600693	-85.863986                                                                                                         
236	21300	Elmira, NY Metro Area	1	1055036193	8876788	407.352	3.427	42.15528	-76.747179                                                                                                                  
238	21340	El Paso, TX Metro Area	1	14461745064	7641038	5583.711	2.95	31.527394	-105.521333                                                                                                              
222	21460	Enterprise, AL Micro Area	2	1758565925	3907189	678.986	1.509	31.402258	-85.989602                                                                                                             
240	21500	Erie, PA Metro Area	1	2069618350	1966181937	799.084	759.147	42.117952	-80.096386                                                                                                              
106	21580	Española, NM Micro Area	2	15179587763	91468728	5860.872	35.316	36.509669	-106.693983                                                                                                          
390	21900	Fairmont, WV Micro Area	2	799642788	7185842	308.744	2.774	39.505839	-80.243402                                                                                                                
244	22020	Fargo, ND-MN Metro Area	1	7278299544	26885278	2810.167	10.38	46.914859	-96.960183                                                                                                             
378	22060	Faribault-Northfield, MN Micro Area	2	1284215164	52066242	495.838	20.103	44.350734	-93.298505                                                                                                 
476	22100	Farmington, MO Micro Area	2	1170346887	7251151	451.873	2.8	37.810707	-90.473868                                                                                                               
246	22180	Fayetteville, NC Metro Area	1	2700525695	19241060	1042.679	7.429	35.037956	-78.982209                                                                                                         
456	22280	Fernley, NV Micro Area	2	5183173264	59602530	2001.234	23.013	39.022213	-119.197425                                                                                                            
248	22300	Findlay, OH Micro Area	2	1376094842	6075215	531.313	2.346	41.000471	-83.666034                                                                                                                
220	22420	Flint, MI Metro Area	1	1649727711	32694965	636.963	12.624	43.021077	-83.706372                                                                                                                
368	22620	Forrest City, AR Micro Area	2	1644132566	20028723	634.803	7.733	35.014026	-90.742138                                                                                                          
290	22840	Fort Payne, AL Micro Area	2	2012676479	4121543	777.099	1.591	34.460929	-85.803992                                                                                                             
217	22860	Fort Polk South, LA Micro Area	2	3439290588	35139147	1327.918	13.567	31.110563	-93.18152                                                                                                      
258	23060	Fort Wayne, IN Metro Area	1	3524945466	18640644	1360.989	7.197	41.006999	-85.216424                                                                                                           
320	23140	Frankfort, IN Micro Area	2	1049119215	461117	405.067	0.178	40.305944	-86.477567                                                                                                               
336	23180	Frankfort, KY Micro Area	2	1061797801	16386006	409.962	6.327	38.120504	-84.938336                                                                                                             
466	23300	Freeport, IL Micro Area	2	1462219648	1350223	564.566	0.521	42.349726	-89.665994                                                                                                               
420	23340	Fremont, NE Micro Area	2	1370269386	36091878	529.064	13.935	41.577008	-96.645853                                                                                                              
260	23420	Fresno, CA Metro Area	1	15431404077	137345152	5958.099	53.029	36.761006	-119.655019                                                                                                           
273	23500	Gaffney, SC Micro Area	2	1018732778	11714267	393.335	4.523	35.049796	-81.607647                                                                                                               
264	23540	Gainesville, FL Metro Area	1	3172030484	257239150	1224.728	99.321	29.677957	-82.479869                                                                                                        
122	23580	Gainesville, GA Metro Area	1	1017824021	94056095	392.984	36.315	34.317569	-83.8185                                                                                                            
206	23620	Gainesville, TX Micro Area	2	2265746282	61362926	874.81	23.692	33.639196	-97.210343                                                                                                           
456	23820	Gardnerville Ranchos, NV Micro Area	2	1838170321	72317571	709.722	27.922	38.905129	-119.609019                                                                                                
396	23860	Georgetown, SC Micro Area	2	2107953074	573090683	813.885	221.272	33.417531	-79.296333                                                                                                         
276	23900	Gettysburg, PA Metro Area	1	1343584297	7700079	518.761	2.973	39.869471	-77.21773                                                                                                              
150	23980	Glasgow, KY Micro Area	2	2013019197	36152378	777.231	13.959	36.967571	-85.815497                                                                                                              
104	24020	Glens Falls, NY Metro Area	1	4398868020	204809894	1698.413	79.078	43.44045	-73.636757                                                                                                         
233	24060	Glenwood Springs, CO Micro Area	2	10148210401	27870976	3918.246	10.761	39.509542	-107.667311                                                                                                  
104	24100	Gloversville, NY Micro Area	2	1283234675	96916406	495.46	37.42	43.115609	-74.423678                                                                                                           
266	24340	Grand Rapids-Wyoming, MI Metro Area	1	6915240511	2929683503	2669.989	1131.157	42.978632	-85.811208                                                                                            
106	24380	Grants, NM Micro Area	2	11758505178	5554603	4539.984	2.145	34.928272	-107.99268                                                                                                               
366	24420	Grants Pass, OR Metro Area	1	4244083284	5629241	1638.65	2.173	42.386983	-123.571624                                                                                                           
216	24540	Greeley, CO Metro Area	1	10323763901	79558364	3986.028	30.718	40.555961	-104.383666                                                                                                           
267	24580	Green Bay, WI Metro Area	1	4843349917	2535183335	1870.028	978.84	44.474024	-87.99613                                                                                                          
521	24640	Greenfield Town, MA Micro Area	2	1810978987	65539241	699.223	25.305	42.584504	-72.591792                                                                                                      
268	24660	Greensboro-High Point, NC Metro Area	1	5164024259	68683245	1993.841	26.519	36.025204	-79.792633                                                                                               
294	24700	Greensburg, IN Micro Area	2	964946090	1955470	372.568	0.755	39.30598	-85.499831                                                                                                               
274	24780	Greenville, NC Metro Area	1	1689620097	8247844	652.366	3.185	35.59249	-77.372739                                                                                                              
212	24820	Greenville, OH Micro Area	2	1549072312	4245361	598.1	1.639	40.131542	-84.621248                                                                                                               
273	24860	Greenville-Anderson-Mauldin, SC Metro Area	1	7017798726	200407905	2709.587	77.378	34.683709	-82.413423                                                                                        
273	24940	Greenwood, SC Micro Area	2	2450522080	74461734	946.152	28.75	34.190755	-82.296677                                                                                                             
490	25020	Guayama, PR Metro Area	1	327896947	235858445	126.602	91.065	17.979155	-66.069473                                                                                                              
548	25180	Hagerstown-Martinsburg, MD-WV Metro Area	1	2017382556	25859161	778.916	9.984	39.542152	-77.899767                                                                                             
406	25220	Hammond, LA Metro Area	1	2049488101	136678798	791.312	52.772	30.621531	-90.40663                                                                                                              
546	25260	Hanford-Corcoran, CA Metro Area	1	3600883824	3162664	1390.309	1.221	36.072478	-119.81553                                                                                                      
448	25300	Hannibal, MO Micro Area	2	2348350853	55510342	906.703	21.433	39.664115	-91.579179                                                                                                             
276	25420	Harrisburg-Carlisle, PA Metro Area	1	4200583091	109276270	1621.854	42.192	40.335915	-77.05049                                                                                                 
277	25500	Harrisonburg, VA Metro Area	1	2245852104	10778701	867.128	4.162	38.507585	-78.885321                                                                                                          
278	25540	Hartford-West Hartford-East Hartford, CT Metro Area	1	3922845118	238772610	1514.619	92.191	41.71865	-72.573919                                                                                
482	25720	Heber, UT Micro Area	2	3048467971	79114523	1177.02	30.546	40.334884	-111.161568                                                                                                               
450	25780	Henderson, NC Micro Area	2	653708021	42184129	252.398	16.287	36.365481	-78.405434                                                                                                             
280	25860	Hickory-Lenoir-Morganton, NC Metro Area	1	4246248400	75149410	1639.486	29.015	35.814611	-81.457066                                                                                            
496	25980	Hinesville, GA Metro Area	1	2374665877	231741564	916.864	89.476	31.778788	-81.57648                                                                                                           
266	26090	Holland, MI Micro Area	2	2137385001	2610813756	825.249	1008.041	42.595787	-86.634745                                                                                                          
284	26300	Hot Springs, AR Metro Area	1	1755290360	147383937	677.721	56.905	34.578852	-93.146932                                                                                                         
288	26420	Houston-The Woodlands-Sugar Land, TX Metro Area	1	21408880069	3050540081	8266.015	1177.82	29.749593	-95.353642                                                                                
104	26460	Hudson, NY Micro Area	2	1643770743	35071400	634.663	13.541	42.247729	-73.626806                                                                                                               
258	26540	Huntington, IN Micro Area	2	991057047	13133344	382.649	5.071	40.826394	-85.478597                                                                                                             
170	26580	Huntington-Ashland, WV-KY-OH Metro Area	1	6546021448	91788411	2527.433	35.44	38.373691	-82.385193                                                                                             
290	26620	Huntsville, AL Metro Area	1	3526369101	151161111	1361.539	58.364	34.783262	-86.734871                                                                                                         
288	26660	Huntsville, TX Micro Area	2	3828049546	97004050	1478.018	37.453	30.909844	-95.36929                                                                                                           
378	26780	Hutchinson, MN Micro Area	2	1272941861	36368633	491.486	14.042	44.821657	-94.272323                                                                                                           
292	26820	Idaho Falls, ID Metro Area	1	13457962893	125284690	5196.149	48.373	43.620423	-112.420919                                                                                                      
430	26860	Indiana, PA Micro Area	2	2143140107	17642456	827.471	6.812	40.651432	-79.087545                                                                                                               
294	26900	Indianapolis-Carmel-Anderson, IN Metro Area	1	11153503185	88872621	4306.392	34.314	39.74867	-86.212382                                                                                        
185	26940	Indianola, MS Micro Area	2	1807187010	23747315	697.759	9.169	33.605529	-90.59509                                                                                                              
266	26960	Ionia, MI Micro Area	2	1479707916	22593308	571.318	8.723	42.94465	-85.073766                                                                                                                  
168	26980	Iowa City, IA Metro Area	1	3060856007	31468252	1181.803	12.15	41.517806	-91.64793                                                                                                             
296	27060	Ithaca, NY Metro Area	1	1229314961	43787671	474.641	16.907	42.453006	-76.473483                                                                                                               
